reviewer,stars,title,review,date
Dhruv Sharma,4,Phenomenal,"To describe it in one word – Scintillating! In his provocative and inspiring book, Malcolm Gladwell talks about success and the underlying factors which propel one in the direction of achievement. Outliers promises to relate not just to your personal experiences but of those around you. He builds a convincing case for how successful people rise on a tide of advantages, ""some deserved, some not, some earned, some just plain lucky.""","Aug, 2017"
atin bajpai,5,Classy product,"Eye opener ,in simple words  books wants to say there are simple reasons for success and failure , life is simpler than we make it out be ,books just accentuates that, really worth a read ,will change your outlook towards life in a positive way !","Aug, 2017"
Sameer Saurabh,5,An answer to one of our unending questions,There are certain questions that repeatedly keep coming to our mind...perhaps one of them is what really makes a difference between a successful and unsuccessful person? This book tries to give an entirely different perspective on the above mentioned question. I believe it helps in understanding the interconnection between hard work and luck (can be defined here as inborn advantages) and the role that it can play in achieving success.,"Aug, 2017"
Shahzada Irfan Bashir,4,Very Good,"Must read book for everyone! It keeps you motivated with the purpose and skills you want to acquire. I loved this book throughout and it has a great connection. Don’t bother yourself with the difficult circumstance, you should keep going and excel yourself with the skills and follow your passion one day you will strike the target and achieve your goals. Must read for those who want to achieve something good in life and who dream big","Aug, 2017"
Mustufa Baldiwala,2,"Below Average..Success is not 'Circumstantial' Please, it is not Circumstantial.","Gladwell wants to say that success is largely dependent on Chance.. or in more common language ""Lucky Chance.""","Aug, 2017"
Sai P,3,Just okay,Book is very helpful for entrepreneurs. But the paper quality and printing is too bad. I'm not satisfied with book quality. Please improve it.,"Aug, 2017"
Flipkart Customer,5,Fabulous!,Great book. The stories it has a crust to it. The author provides a great analysis of things which we normally wonder on why that happened. Got to know so many new facts.,"Aug, 2017"
Hemant Patel,3,Good,Personally I did not like this book much.  The author did not mention that success depends on Karma.  Bill gate was born that time because of his good karma and his life purpose. I born now as per my karma and life purpose.,"Aug, 2017"
Divyanshu Gaur,5,Outstanding!,Wow this is an amazing book. Recently I completed my novel and its worth reading. I strongly recommend it to those with an avid on Non-fictional side.,"Aug, 2017"
Flipkart Customer,4,Good quality product,Thank you very much for delived my product and I very happy for that and I just want to say one thing when ever I order something from you're side just send on my exactly house no so that it's very easy for me without any confusion...over all everything is fine onces again thank you very much,"Aug, 2017"
Prateek Chourasia,5,Must buy!,"Amongst 18-20 other books which I've read ever, Outliers is the best and most realistic book!","Feb, 2014"
Ruchit Soren,5,Good Service,The product was delivered in a good two days time. The packaging was excellent and the book was in perfect condition.,"Feb, 2014"
Nirbhay Modhe,4,A great literary experience.,"Outliers is a book centered around the statistical aspects of the lives of successful people. The author gives evidence of how certain factors contribute largely towards success in life. He gives examples of how the month of birth of ice hockey players affect their chances of becoming professional atheletes, how the year of birth affected Bill Gates' childhood and learning environment which ultimately played a key role in his success. The author mentions the 10,000 hour rule, which claims tha...","Feb, 2014"
