reviewer,stars,title,review,date,country
Spectrum314k,1,Journalism and pseudoscience,"Journalism and pseudoscience. Having read lots of favourable reviews, I was extremely disappointed. The book essentially argues against the notion that people are born to succeed. If you believe that success is a bit more complicated than that, you may be in for a tedious time ahead as it laboriously tries to convince you against something you never thought in the first place. There is simply not enough here for a book and so the material is stretched out, presenting points that would be common sense to most people seemly expecting the result to be paradigm shifting revelations to the reader. It circles around the same points approaching from a variety of angles, while ignoring any counter arguments you feel should be addressed.",2017-11-12,Reino Unido
Stiven Skyrah,5,Salient and grounded,"Salient and grounded. ​Gladwell argues that success is tightly married to opportunity and time on task. He states that it takes approximately 10,000 hours to master something and that gives me comfort. It helps me feel better about my many failures at initial attempts to master things (like glazing pottery, algebra, Salsa dancing, skiing and sewing... to name a few). I kept thinking, ""I've just got to put in more hours if I want to do better.""",2018-03-03,Reino Unido
J C Mitchinson,3,Interesting enough but certainly no revelation,"Interesting enough but certainly no revelation. Basically, this book *reveals* that people don't gain success through talent and hard work alone; rather they have other, often hidden, advantages. These can be cultural, social, financial, and circumstantial. It also suggests that talent + advantages+ 10000 hours of practice = unusual success. This is demonstrated by a set of examples (The Beatles, Bill Gates etc).",2014-06-23,Reino Unido
Marty M,5,Fascinating and  thought-provoking,"Fascinating and  thought-provoking. It takes a special insight to uncover truths that have always been there, but never been identified. Gladwell brings together evidence - and hindsight - to show how the  most special of humans have been the  product of  their circumstances, opportunities and timing, which allied to hard work and talent makes people outliers. The lesson is that people can thrive only if given the  opportunity and resources to do so, and in an oblique way is a damning critique of the winner-takes-all culture in Western societies, and the enormous inequities of inherited wealth and privilege.",2019-01-17,Reino Unido
bobrayner,3,Enjoyable read but scientifically it makes me feel uneasy,"Enjoyable read but scientifically it makes me feel uneasy. I would like to put Gladwell in the same category as Jared Diamond - he writes books that take you on an enjoyable sweep through different places and eras and whole swathes of pop-anthropology but, deep down, I have to wonder *why* he picked a story about dental statistics in 1930s Luxembourg, or the rate of unexplained bus crashes in Peru versus Chile. I can never quite rule out a suspicion of cherry-picking. Which is uncomfortable, because I really *want* to believe these neat stories that let you in on a little secret that underpins whole swathes of the modern world.",2020-02-18,Reino Unido
Paul Walsh,5,"Wonderfully interesting, easy to read, amazing findings","Wonderfully interesting, easy to read, amazing findings. Brilliant book for exemplifying patterns in human behaviour. I am not reading it in order to look at improving the odds of success in life - not as a sociologist or psychologist.....and I find it very gripping and the evidence against the examples is brilliant. I take each chapter as a chapter of learning but the sort of learning which implants itself in your mind instead of needing to try and take it all in. It is written in a way that the knowledge provided naturally settles in your mind. Would highly recommend to anyone who is looking at success, improving odds, running a business, psychology, sociology",2018-09-01,Reino Unido
GoldenHen,2,Over-hyped Book with a Lack of Convincing Conclusions,"Over-hyped Book with a Lack of Convincing Conclusions. To be honest, I still don't get the point of this book. Chapter after chapter, the same statement is made, that success in life is more to do with where you come from than with anything else. So what? Are we supposed to become all defaitist about this now, as we cannot really influence our fate in life? As so often in american books of this type, it is dense in quoting from all sorts of random research, which makes it at times tiring to read. Anecdotes that may or may not be convincing provide for some more relaxed reading, but the author's conclusions (if any) are often not convincing. So the Chinese are better at maths because they have an easier system of naming their numbers? And why does that then all of a sudden apply to all Asians, even though not all Asian languages share the same feature?",2014-08-17,Reino Unido
tallmanbaby,4,one great read,"one great read. At heart this is a cracking set of essays around the theme of achieving excellence, and despite the technical basis and dry subject it manages to read like a thriller. The author also flatters and draws in the reader with well chosen examples.",2017-09-10,Reino Unido
Regan Cipher,4,Worth a read,"Worth a read. Malcolm Gladwell has a storytelling style that makes for compelling reading, albeit based around 'one big idea', in this instance 'grit'.",2022-03-05,Reino Unido
Tham Chee Wah,5,Wouldn’t it all boils down to one philosophy?,Wouldn’t it all boils down to one philosophy?. It’s a 5-star research work. That’s all.,2020-07-17,Reino Unido
Muirian,5,Extraordinary,Extraordinary. Every chapter should be read. Each one reveals interesting stories built from dissecting facts and discovering true causes.,2018-11-29,Reino Unido
IS,5,Interesting….,"Interesting….. First book I read from the author and I found his approach quite interesting. It is great that he doesn’t sugarcoat things. The key to success is……. well it’s down to main factors and this is what this book is about. I liked that it gives you a wider sense of what makes up success and his points were logical and pragmatic. There is not always an easy road as some of us may think, it takes quite a lot to be an outlier…Easy to read, he makes his points in a very grounded way. Will read more of his books for sure. This one was worth it!",2021-12-28,Reino Unido
Adam Morgan,1,"A great book if you believe it's pointless trying to excel in life, as the odds are against you","A great book if you believe it's pointless trying to excel in life, as the odds are against you. I never leave reviews, but this book is a travesty. I am blown away and confused over the positive reviews this book has received.",2022-01-27,Reino Unido
AM Brody,5,Compelling book which makes you reassess achievement,Compelling book which makes you reassess achievement. This is a wonderful book which looks deeply into people who have achieved huge success and analysis what was going on. He argues that the circumstances around these people have a lot to do with their success without diminishing the hard work and intelligence they brought to their subject.,2021-02-10,Reino Unido
@Timothy_Hughes,5,We can all be outliers and this book explains how!,"We can all be outliers and this book explains how!. What is an Outlier?  How do people become outstanding in their field?  Are the born with a skill?  Do you have to learn a skill?  Do you have to be born at the right time?  Or is being an Outlier, a number of steps of “luck”?  The Beatles, Bill Gates, happen to have a number of circumstances that accumulated to make sure they were in the right place at the right time.  Were they the brightest or the best?  As well as having skill and aptitude you also have to have the strength and presence of mind to seize them.  We can all be outliers and this book explains how!",2019-12-16,Reino Unido
Special,4,Malcolm Gladwell Always Seems To Get It Right,"Malcolm Gladwell Always Seems To Get It Right. I got this book on recommendation. I have read other Gladwell books so expected it to be a good read. It just confirms what most people think deep down, when opportunity meets hard work you win. Separately neither of these two things will guarantee you success.",2022-03-12,Reino Unido
Steve,4,I'd recommend this book as a great read for anyone,"I'd recommend this book as a great read for anyone. Compellingly and skillfully written. As someone who is around the same age as Bill Gates, yet missing the billions, I was deeply impressed by the material in the first half of this book. The author is adept at selling his ideas and I formed the impression that he had researched the examples extensively. Indeed, there are further details about his sources at the end. However, the second half seemed to drag a bit, for me (perhaps I was still depressed after reading the first half), but offered further support for the ideas presented in the first half. I'd recommend this book as a great read for anyone, and in particular for those who, like myself, may feel that they could have shone brighter, if only life had chosen them instead.",2017-10-01,Reino Unido
Spoda,5,Wonderful,"Wonderful. Bought this following a recommendation and loved it. It’s honestly one of the best books I’ve read. Interesting, intriguing and fascinating. The groups studied are varied and broad and the stories covered will allow you to glimpse ways that we are and aren’t responsible for our success. I couldn’t put it down. The chapter on Korean pilots was very moving in its detail and tragedy. Will read more of Mr Gladwell’s books as a result.",2019-09-03,Reino Unido
Expatista,4,"Should have been called ""Luck""","Should have been called ""Luck"". My most intellectual friends say Gladwell is criticised for his ""pop"" coverage of ideas that are normally the provenance of academics, but I like his readable, confident style. His books have become extremely influential; every American parent I know espouses some version of the ideas in The Tipping Point. This is another one to freak parents out: a book claiming that behind every great man and woman is a whole lot of being in the right place at the right time.",2014-12-23,Reino Unido
A. Davies,5,Food for thought,"Food for thought. Outliers is my book of the year so far. I know I'm late to the party, but it really made me think. I'd heard most of it's ideas before (partly because it's been so successful), but never expressed this clearly, and accessibly, and all together.",2018-11-10,Reino Unido
alex,5,Essential reading,Essential reading. Everyone need to read this book.,2021-09-05,Reino Unido
Diana Prince,5,Epic,"Epic. Excellent book. Particularly recommended for teenagers (and their parents) who wonder why they might be under-performing or what they will end up doing with their life. It is full of 'A ha"" moments  When I first started reading it I wasn't enthralled but as the author started to show connections and underlying situations that build up to success, I was  really impressed.",2019-03-31,Reino Unido
