reviewer,stars,title,review,date
Gaggleframpf,1,Not Really About Outliers.,"Not Really About Outliers.. This books title leads you to believe that it's going to talk about statistical outliers, but it only nominally does that. Gladwell ignores actual outliers in the teeth of the statistical cases he presents.",2019-09-30
Leah C. Day,3,Interesting,"Interesting. This was a pretty interesting book. I don't agree with all of the reasoning, but it's an interesting theory.",2009-09-14
GW Support,1,Don’t dilute your potential with this book,"Don’t dilute your potential with this book. This book’s entire theme is basically that chance determines your successes in life. Hard work, preserverence, determination, commitment and resilience are qualities that this book does not celebrate. Instead, it focuses on culture, upbringing, date of birth and chance. If you are looking for self improvement, I would highly recommend skipping this title and reading books like “The secret of the ages” by Robert Collier, “The power of your subconscious mind” by dr Joseph Murphy, “The richest man in Babylon” by George S. Clason etc.",2019-02-15
Scott T. Hards,3,"Engaging, but overrated","Engaging, but overrated. Outliers has many interesting statistical anecdotes sprinkled throughout, to be sure.  My interest was held.  But at its core, the book's central theme is simply ""successful people are aided in their success by their families, culture, education and other chance factors.  They could not have done it alone.""  This is not exactly a particularly profound revelation.  Gladwell repeatedly asserts that most people think Bill Gates-type successes are simply due to that person's raw talent and little else.  But is that really the case?  Does anybody really think Bill Gates could have achieved what he did had he been born in Botswana, for example?  What's more, while crediting these outside factors with making these ""outliers"" possible, he fails to note that in almost every case, hundreds if not thousands or even more other people had virtually identical birth situations, yet failed to achieve greatness.  Gladwell's goal seems to be an attempt to take the shine off of society's great success stories by, in effect, claiming they just got lucky.  But I think the formula for producing an outlier is more complex than that.  Too often in this book, Gladwell seems to be profoundly stating the obvious.",2008-12-13
KevinH,5,Captivating (if not an outlier),"Captivating (if not an outlier). Regardless of what you ultimately think of the author's analysis, Gladwell is a masterful storyteller, weaving together interesting anecdotes from such diverse sources as plane crash research to hillbilly feuds to standardized math tests.  That Gladwell narrates the audio book himself adds greatly to the listening experience.  Critics will complain that his thesis is obvious (that opportunity, cultural inheritence and hard work play key roles in success), or that his examples are selective and ignore in turn outliers that don't illustrate his points -- or, somewhat inconsistently, both.  But Gladwell's books are successful because he examines phenomena and topics of importance in an accessible and entertaining way.  No one should mistake Malcolm Gladwell for a big thinker like, say, Stephen J. Gould, but Gladwell would be the first one to tell you that he's no outlier.  Don't accept everything the author says as truth revealed, but do listen to this book -- it's one of the best non-fiction offerings available through Audible.",2008-11-21
Sher from Provo,4,Very Interesting!,"Very Interesting!. Gladwell sets out to explain how the top people in any field were able to get there.  The explanations can be very surprising.  I was very engaged throughout the whole book.  He talked a lot about education, and having been a public school teacher for the last 27 years, I found it absorbing, hopeful, and found myself wishing that I had known some of these things 27 years ago.",2012-04-12
Chris,2,This book should be called 'selective evidence',"This book should be called 'selective evidence'. Whilst a lot of the ideas in this book are not Gladwell's alone, he takes responsibility for presenting them as if they were fact. Some parts are fascinating - such as the investigation of pilot errors which lead to crashes - but much of it falls woefully short of sound argument. The main points in the book are either obvious or highly questionable: intelligence alone is no trigger for success; luck is big factor in all great achievements; 10,000 hours of practice is required to achieve excellence at anything.",2010-08-23
Robert W,3,Intriguing but the research is questionable,"Intriguing but the research is questionable. This book is quite intriguing, but often as I listened I began to wonder about his research methodology. His facts, while compelling seem to be only part of the picture and I began to wonder as to how much picking and choosing of facts was going on to support his points. His determination to support his rather deterministic view is clear throughout the piece.",2009-05-09
Luiz C Payne,5,Great audio book,"Great audio book. The content was entertaining and fascinating. A lot of ""oh wow"" moments. What was really good was Malcolm's read. He is an excellent reader--right on point with his inflection and cadence. I thought it had to be a professional reader.",2009-03-07
Russ,1,Interesting but stupid,"Interesting but stupid. The research and data are interesting but his conclusions are dumb.  He comes right out and says that he is trying to debunk the ""myth"" that hard work and good choices bring success and instead tries to reduce all human success to a sort of lottery game.",2011-08-03
