reviewer,stars,title,review,date
reader347,1,Not my cup of tea,"Not my cup of tea. If you are looking for a page turner, this is not it. I had to read this for school and I couldn’t absorb anything because I kept spacing out",2021-09-06
,5,Sensational Book!,"Sensational Book!. The world fosters competition at an exponential pace and this read awards you with a perfect inspiration to be distinctive within that massive competition. Learning about The Beatles' outstanding success in the music industry to the advancement of Microsoft in the technical world, a journey through this books captivates you to find headstarts to the race of your success!",2021-05-17
txpenelope,3,Good but not like Talking To Strangers,"Good but not like Talking To Strangers. This was a very interesting audiobook. Gladwell looks at success through a different lens.  He examines success not just by hard work but by timing. Gladwell explains the 10,000 hour rule - it takes 10,000 hours of intense practice to become an expert at something. 

But success is also a product of timing. The majority of professional hockey players are born at the beginning months of the year coinciding with the youth league age cutoff. Wealthiest men of the Industrial Age are born within 10 years. Bill Gates, Steve Jobs, & Bill Joi born within months of each other. 

Gladwell also examines how culture plays a part of success too. However, I felt that Chapter 7 on plane crashes which examines cultural reasons for communication breakdowns during flight emergencies didn’t really fit into this book about “success.”

After reading Gladwell’s book Talking to Strangers, this book was a bit of a disappointment. Overall it’s a good book but not at the same caliber as Talking to Strangers.",2021-04-02
OutTheBackdoor,5,Insightful,"Insightful. Insightful, a book anyone can take a lesson or two from.",2020-12-28
,3,,,2019-01-14
,5,Good Read,Good Read. Super interesting!,2018-11-14
Alexander Woods,4,"This book is magnificent.

It changed my perspective on the idea o ...","This book is magnificent.

It changed my perspective on the idea o .... This book is magnificent.

It changed my perspective on the idea of success, and how to obtain it. A LOT of the factors within the journey are circumstantial, and others require hard work. Gladwell, presents the beauty of that conflicting path to success.",2017-03-22
,4,Outliers was a great book that made me think about success in a wh ...,"Outliers was a great book that made me think about success in a wh .... Outliers was a great book that made me think about success in a whole new way. I really thought that the cliche story of success had some truth in it, but apparently I was wrong. According to reviews like Rebecca on Goodreads, who said, “My own personal experience as a teacher of refugees reflects Gladwell's primary thesis,” this theory of Gladwell’s is very true. My only criticism is the lack of female representation by Gladwell. Allie from Goodreads agrees with me, saying, “Man after man after high-achieving man was featured. Any time a woman was mentioned, it seemed she was a wife or mother helping to boost a high achiever to success - or, in one case toward the end of the book, a somewhat slow female math student that a male professor had videotaped trying to figure out a math problem.” But overall. I thought the book was quite enjoyable and would recommend.",2017-03-21
,4,I thoroughly enjoyed reading this book. It is difficult to analyze ...,"I thoroughly enjoyed reading this book. It is difficult to analyze .... I thoroughly enjoyed reading this book. It is difficult to analyze why and how distinguished people are so brilliant and superior, but the way that Gladwell presented his points gave a logical and tangible understanding  of the abstract concept of success. (Also, the amount of research he did is astonishing.)

I recommend this book to everyone!",2017-03-17
Angus Fletcher,5,Outliers is a really thought provoking novel. I guarantee anyone c ...,Outliers is a really thought provoking novel. I guarantee anyone c .... Outliers is a really thought provoking novel. I guarantee anyone can learn something from reading this book. It really challenges the misconception that success is based solely off of hard work and innate capabilities. It makes you have a deeper understanding and ability to analyze the cause an effect of any situation.,2017-03-17
,5,Loved this book! Thought it was very informative and was highly en ...,Loved this book! Thought it was very informative and was highly en .... Loved this book! Thought it was very informative and was highly entertaining!,2017-03-17
madison-seifer,3,There were certainly parts of this book that I found quite interes ...,"There were certainly parts of this book that I found quite interes .... There were certainly parts of this book that I found quite interesting and that made a lot of logical sense. Although the points are occasionally repetitive and over-drawn, Gladwell makes the point of using examples that force us to rethink the definition of ""success"". It doesn't have to mean innate ability to be smarter or more innovative than others, and can depend on a person's circumstances in life. 

Looking back, however, I realized there were only 3-4 chapters that I found myself truly immersed in his theories. I wasn't very fond of the fact that he spent 46 pages talking about plane crashes when the point was easily established in a third of that amount of pages. On the other hand, I related to and felt that he did a solid job analyzing the success rates of students that wait an extra year to start elementary school versus students that start earlier and are the youngest in their grade. Additionally, I liked his take on the ""10,000-Hour Rule"" because it essentially provided a perspective behind the reward of hard work.

Lastly, for the first half of the book, Mr. Malcolm Gladwell comes off as quite pretentious, almost as if his theories are superior to all others considering the subject matter. Even though the book is well written and makes good points, it wasn't particularly groundbreaking. It had some really good parts, and some parts I didn't enjoy as much.",2017-03-16
,5,Incredible!,Incredible!. Wow this book was so fascinating!,2017-02-19
,5,,,2017-01-07
,5,,,2016-07-16
,5,,,2016-06-28
,5,,,2016-04-11
samanthajgordon,5,"Malcolm Gladwell’s ""Outliers: The Story of Success"" has redefined  ...","Malcolm Gladwell’s ""Outliers: The Story of Success"" has redefined  .... Malcolm Gladwell’s ""Outliers: The Story of Success"" has redefined my interpretation of what it means to be human, and what it takes for a person to thrive and be successful.  The book takes the reader through a series of stories and scenarios that prove that natural talent doesn’t necessarily exist.  In fact, the characteristics that define who we are and how we act stem from a huge underground network that includes what time of the year we were born, our heritage, and other things.  For example, the country in which we grew up correlates to our confidence when standing up to authority.  Americans are inherently unafraid of the distance between a powerful figure and a subordinate, while people of nations such as Russia don’t normally speak up against those more powerful than them.

Topics like these are openly explored in ""Outliers"" in a clever blend of storytelling and statistics.  Sometimes I was reading a novel, other times a book on psychology, and even at times, a book that would be right at home in the self-help section.  ""Outliers"" is fast-paced yet descriptive and never caught me lacking focus and attention while reading it, especially considering that nonfiction books easily become very dry and difficult for me to read.  However, ""Outliers"" tackles such a unique idea and approaches it in a way that gives the book immense reread value.  After finishing the book, I’ve been inspired to look further into some of the researchers and studies the book referenced throughout.  I believe that the best books are the ones that keep you thinking even after you’ve finished them, and there is no doubt that ""Outliers"" is extremely thought-provoking.  While some chapters were more interesting and relevant to me than others, otherwise, it’s really difficult for me to find flaws with this book. I would recommend this book to anyone wishing to know more about the inner workings of the world and even about themselves.  ""Outliers"" provides unique insight on the natural tendencies of man and why successful people are so, also influencing the reader to evaluate how they, themselves, can thrive.",2016-04-04
