reviewer,stars,title,review,date
Dhruv Sharma,4,Phenomenal,"Phenomenal. To describe it in one word – Scintillating! In his provocative and inspiring book, Malcolm Gladwell talks about success and the underlying factors which propel one in the direction of achievement. Outliers promises to relate not just to your personal experiences but of those around you. He builds a convincing case for how successful people rise on a tide of advantages, ""some deserved, some not, some earned, some just plain lucky.""",2017-08
atin bajpai,5,Classy product,"Classy product. Eye opener ,in simple words  books wants to say there are simple reasons for success and failure , life is simpler than we make it out be ,books just accentuates that, really worth a read ,will change your outlook towards life in a positive way !",2017-08
Sameer Saurabh,5,An answer to one of our unending questions,An answer to one of our unending questions. There are certain questions that repeatedly keep coming to our mind...perhaps one of them is what really makes a difference between a successful and unsuccessful person? This book tries to give an entirely different perspective on the above mentioned question. I believe it helps in understanding the interconnection between hard work and luck (can be defined here as inborn advantages) and the role that it can play in achieving success.,2017-08
Shahzada Irfan Bashir,4,Very Good,"Very Good. Must read book for everyone! It keeps you motivated with the purpose and skills you want to acquire. I loved this book throughout and it has a great connection. Don’t bother yourself with the difficult circumstance, you should keep going and excel yourself with the skills and follow your passion one day you will strike the target and achieve your goals. Must read for those who want to achieve something good in life and who dream big",2017-08
Mustufa Baldiwala,2,"Below Average..Success is not 'Circumstantial' Please, it is not Circumstantial.","Below Average..Success is not 'Circumstantial' Please, it is not Circumstantial.. Gladwell wants to say that success is largely dependent on Chance.. or in more common language ""Lucky Chance.""",2017-08
Sai P,3,Just okay,Just okay. Book is very helpful for entrepreneurs. But the paper quality and printing is too bad. I'm not satisfied with book quality. Please improve it.,2017-08
Flipkart Customer,5,Fabulous!,Fabulous!. Great book. The stories it has a crust to it. The author provides a great analysis of things which we normally wonder on why that happened. Got to know so many new facts.,2017-08
Hemant Patel,3,Good,Good. Personally I did not like this book much.  The author did not mention that success depends on Karma.  Bill gate was born that time because of his good karma and his life purpose. I born now as per my karma and life purpose.,2017-08
Divyanshu Gaur,5,Outstanding!,Outstanding!. Wow this is an amazing book. Recently I completed my novel and its worth reading. I strongly recommend it to those with an avid on Non-fictional side.,2017-08
Flipkart Customer,4,Good quality product,Good quality product. Thank you very much for delived my product and I very happy for that and I just want to say one thing when ever I order something from you're side just send on my exactly house no so that it's very easy for me without any confusion...over all everything is fine onces again thank you very much,2017-08
Prateek Chourasia,5,Must buy!,"Must buy!. Amongst 18-20 other books which I've read ever, Outliers is the best and most realistic book!",2014-02
Ruchit Soren,5,Good Service,Good Service. The product was delivered in a good two days time. The packaging was excellent and the book was in perfect condition.,2014-02
Nirbhay Modhe,4,A great literary experience.,"A great literary experience.. Outliers is a book centered around the statistical aspects of the lives of successful people. The author gives evidence of how certain factors contribute largely towards success in life. He gives examples of how the month of birth of ice hockey players affect their chances of becoming professional atheletes, how the year of birth affected Bill Gates' childhood and learning environment which ultimately played a key role in his success. The author mentions the 10,000 hour rule, which claims tha...",2014-02
Mohit Singh Solanki,4,Mindblowing!! Great work,"Mindblowing!! Great work. Outliers, published in 2008 is a research the writer has done on success of various people. He tries to find various answers like why people are there where they are now? Why someone is successful or not? etc. In Outliers he examines various general phenomena like high achievements, hard work and individual talent using his short, illustrative and self-engaging proofs and his quality to show complex things with simplicity. According to him hard work is always the main thing behind every succe...",2014-02
Flipkart Customer,4,Inspirational,Inspirational. This book gives lot of joy in reading & understanding the secret behind success of every person.To me its a Good guide that teaches the reality through incidents that took place recently...the legends(some) we are seeing in our day to day life..,2014-02
Shikha shah,5,a worth read...,a worth read.... a great read to understand and appreciate role of circumstances and ones surrounding in being successful. Very easily told with totally interesting and involving examples. The last part of the book turns even more interesting as he unfolds his own family success story...,2014-02
Arun M,5,Awesome Book..,Awesome Book... Good collection of researches and facts on success is given very nicely in the book. This book will make you realize that you don't have to be genius to become successful.,2014-02
Anshul Kandpal,5,Very Engaging,"Very Engaging. I loved the book, without doubt. It's full of insights based on extensive research and analyses. Very well written like most of Gladwell's other books. The examples and stories are from across generations and industries and presented very well. 5 star stuff.",2014-02
Gunjan gupta,4,The Differentitating Factor,The Differentitating Factor. This book gives us a new angle to look at life. It talks that the people who made big in life for them hard-work was one part and the second reason they succeeded is that they got the opportunity. Without the opportunity they would have never made it big.,2014-02
KAPIL ANEJA,4,good book describing what it takes to become really successful,"good book describing what it takes to become really successful. This is a book which would change your notions about success. Most people have the belief that hard work alone could make you successful. But, in this book, Malcolm Gladwell discusses the underlying factors which have an indirect influence on success.",2014-02
Sharan Aujla,5,Best Of Best,"Best Of Best. This book is reallly amazing. I loved it. In this boook malcolam gladwell explains the clear difference between the sucessful people and non sucessful people. It also explains that behind sucessful people there are mamy more people that helped them, and also they have many other advantages.",2017-12
Parth Shah,4,Brilliant read!,"Brilliant read!. Outliers is in general for all who like to figure out why they are where they are. Its an interested take on everybody around us. Malcolm Gladwell has done well to attribute all successes to not a singular parameter but rather to a series of events and incidents that happen to come together to form a larger chain leading up to the ""success"".",2017-12
Chinchu Thankachan,5,Master piece of Information analysis,Master piece of Information analysis. Malcolm Gladwell has done an excellent job in conveying the secrets of success using parables from the real world. I especially liked the story of Airplane crashes and the deep seated study of the human factors involved in the accidents.,2017-12
Vinay Prasad,5,Revelatory,Revelatory. good story of success. Writer makes the obvious point that success has a bit of luck factor and is product of its times.,2017-12
Abhilash%20 Reddy,5,Great Book by Malcolm Gladwell,Great Book by Malcolm Gladwell. After reading this book i brought all other books that are written by him,2017-12
Rajesh Alajangi,5,"Fantastic,Mind-blowing, Unbelievable...","Fantastic,Mind-blowing, Unbelievable.... One of the great books that i had come over..Gives u an immense satisfaction and confidence once you are through it..Expecially some of the chapters like 10,000 hr rule..this was simply remarkable..",2017-12
Rakesh Kumar,5,Just wonderful,"Just wonderful. One of my friend suggested this book to me and once i started reading this book, i realized that the success is more of a chance and it not entirely depends upon your efforts.A good read and must for those hungry for success and particularly for ambitious parents",2017-12
Ranjit Malhotra,4,A great book by Gladwell...  Worth buying!!,A great book by Gladwell...  Worth buying!!. It's a book which gripped my attention...,2017-12
Abhilash Nair,5,The serendipity that allowed behemoths to become just that.,The serendipity that allowed behemoths to become just that.. Things happen. People become famous. Accidents occur. Companies become highly successful. The apparent reasons behind such occurances are known to all.,2017-12
Flipkart Customer,5,Awesome,Awesome. The delivery of the product was on time and in good condition but it would be nice of you to add a bookmark too with each book.,2017-12
Thamizh Inian,1,Fake copy,"Fake copy. I'm a bibliophile and I expect genuine books to be delivered which, is apparently a lot to expect from flipkart these days. And I'm not ordering books anymore from flipkart !",2017-05
Jjm J,5,Terrific,Terrific. Excellent book about why some people are more successful than others. Couldn't keep it down,2017-05
Ninad M,5,Worth every penny,Worth every penny. Fantastic!! Thanks Flipkart. Truecom Retail known for 100% original books,2017-05
Flipkart Customer,1,The Book was old/second hand while the cost was high,The Book was old/second hand while the cost was high. The book was practically in very bad condition and it seemed second hand,2017-05
vishnu pratap singh,2,Bad quality,Bad quality. Very disappointed the paper quality of the product is worst.,2017-05
Sanjay Bhatt,1,Worthless,Worthless. Bad pages quality. Looks like first copy. Disappointed.,2017-05
Tilak Zatakia,1,Utterly Disappointed,Utterly Disappointed. quality of the book was very poor. pages had overwritten writting and it looked like it was not original but zerox'd,2017-05
Flipkart Customer,5,Awesome,Awesome. As I expected👍,2017-05
Mohit Vasdev,5,Brilliant,Brilliant. Great book and great service,2017-05
aryan tiwari,4,Really Nice,Really Nice. Awesome book,2017-05
Dr. Parag Narkhede,3,Nice BOOK,Nice BOOK. Nice Book But first time too too delayed delivery...,2021-06
Krishnaparag Kamat,4,wonderful book,wonderful book. This book talks about how extra-ordinary people became extra-ordinary .. its not about talent alone .. its about the other opportunities that these people got and took efforts to make themselves extra-odinary. Wonderful book.,2021-06
Nachiket  Naik,5,Malcolm Gladwell - An Outlier !!!,Malcolm Gladwell - An Outlier !!!. Read all the three books of Gladwell....,2021-06
Mihir Talnikar,5,Great Book,"Great Book. This book is entirely about successful people. About people who , when presented with an extraordinary opportunity, jumped at the chance, worked insanely hard and achieved success. It also talks about how your cultural upbringing, your family history play a major role in your life and how traits passed over centuries down dont go away.",2021-06
PUNEET KUMAR,2,Expected a better product,Expected a better product. Book is good but the publisher Pustakbhandsar sent it of worse quality,2021-06
Flipkart Customer,5,Brilliant,Brilliant. An amazing read. Quite thought provoking,2021-06
Flipkart Customer,4,Wonderful,Wonderful. Page quality ist good. Pages are too yellow .,2021-06
Nabanita Ghoshal,4,Worth the money,Worth the money. Nice,2021-06
Champak  Rajbongshi,5,Awesome,Awesome. Go for it,2021-06
Selza  Rodrigues,5,Perfect product!,Perfect product!. Read this book before you die.,2021-06
Flipkart Customer,5,Excellent,"Excellent. Good service, keep it up flipcart",2020-10
Flipkart Customer,5,Excellent,Excellent. A good motivational book for people who can amend a few changes in their creative routine.,2020-10
Ritwick  Kundu ,5,Best in the market!,"Best in the market!. Very good book, worth reading 👌",2020-10
HaRdik Tike,5,Terrific,Terrific. Great book!,2020-10
Harshith Kumar ,4,Pretty good,Pretty good. Best book,2020-10
Flipkart Customer,5,Highly recommended,Highly recommended. Page.                  Satisfying,2020-10
