reviewer,stars,title,review,date
Rebecca,5,,"Gladwell argues that success is tightly married to opportunity and time on task. He states that it takes approximately 10,000 hours to master something and that gives me comfort. It helps me feel better about my many failures at initial attempts to master things (like glazing pottery, algebra, Salsa dancing, skiing and sewing... to name a few). I kept thinking, ""I've just got to put in more hours if I want to do better.""",2008-12-06
Bill Kerwin,2,,"When I think about Malcolm Gladwell, the first phrase that comes to mind is ""less than meets the eye.""",2013-06-24
Trevor (I sometimes get notified of comments),5,,"I know, you don’t think you have the time and there are other and more important books to read at the moment, but be warned, you do need to read this book.",2009-01-03
Allie,4,,"Didn't exactly read this book - Joe and I listened to it in the car on the way home from visiting family for Christmas. I really enjoyed it, and was very fascinated by certain parts of it, especially the sections about the Beatles, computer programmers and Korean co-pilots.",2008-12-29
Steve,2,,"Occasionally insightful, but Gladwell's science is pretty junky. His reasons for success change by the page. And he cherry-picks examples to exactly fit the scheme under consideration. Plus, he's obsessed with callbacks and summary statements that only showcase the faulty connections between ideas.",2008-12-16
David,3,,"Malcolm Gladwell's new book reads like a series of cocktail-party anecdotes. Whether the book is a mere fluff piece or something more is open to debate. At its heart, it has two themes: (1) That success depends not just on talent but opportunity, and (2) that success (and failure) also depend on the cultural legacies we inherit from our forebears. Boiled down, here are his essential ideas:",2008-11-14
Eric,3,,"I can save you the trouble of reading the book: smart people don't automatically become successful, they do so because they got lucky. This rule applies to everyone including the likes of Bill Gates and Robert Oppenheimer. That's it. That's what the whole book is about. Gladwell looks at case after case of this: Canadian hockey players, Korean airline pilots, poor kids in the Bronx, Jewish lawyers, etc... Even with all this evidence it feels like he's pulling in examples that fit his theory and",2008-12-19
Tharindu Dissanayake,3,,"""This is not a book about tall trees. It's a book about forests.""",2020-11-27
David,1,,"Malcolm Gladwell writes very interesting and entertaining books. J.R.R. Tolkein writes very interesting and entertaining books as well. However, after reading Tolkein, I did not venture out into the world in search of hobbits, dwarves and elves to be my new friends, or worry about being attacked by trolls. Tolkein's books, while entertaining, have little connection to reality. Unfortunately, the same can be said about Gladwell. ""Outliers"" is a series of well-written and interesting essays along",2011-09-10
Adam,5,,People are criticizing this book because it is not a journal article. Well guess what: we're not all sociologists. I have read plenty of journal articles in my own field (law). I'm in no position to read journal articles in fields outside my own. Having a well-written piece of mass-market writing is just the thing I need to access this information.,2008-12-30
