reviewer,stars,title,review,date
Rebecca,5,,"Gladwell argues that success is tightly married to opportunity and time on task. He states that it takes approximately 10,000 hours to master something and that gives me comfort. It helps me feel better about my many failures at initial attempts to master things (like glazing pottery, algebra, Salsa dancing, skiing and sewing... to name a few). I kept thinking, ""I've just got to put in more hours if I want to do better.""","Dec 06, 2008"
Bill Kerwin,2,,"When I think about Malcolm Gladwell, the first phrase that comes to mind is ""less than meets the eye.""","Jun 24, 2013"
Trevor (I sometimes get notified of comments),5,,"I know, you don’t think you have the time and there are other and more important books to read at the moment, but be warned, you do need to read this book.","Jan 03, 2009"
Allie,4,,"Didn't exactly read this book - Joe and I listened to it in the car on the way home from visiting family for Christmas. I really enjoyed it, and was very fascinated by certain parts of it, especially the sections about the Beatles, computer programmers and Korean co-pilots.","Dec 29, 2008"
Steve,2,,"Occasionally insightful, but Gladwell's science is pretty junky. His reasons for success change by the page. And he cherry-picks examples to exactly fit the scheme under consideration. Plus, he's obsessed with callbacks and summary statements that only showcase the faulty connections between ideas.","Dec 16, 2008"
David,3,,"Malcolm Gladwell's new book reads like a series of cocktail-party anecdotes. Whether the book is a mere fluff piece or something more is open to debate. At its heart, it has two themes: (1) That success depends not just on talent but opportunity, and (2) that success (and failure) also depend on the cultural legacies we inherit from our forebears. Boiled down, here are his essential ideas:","Nov 14, 2008"
Eric,3,,"I can save you the trouble of reading the book: smart people don't automatically become successful, they do so because they got lucky. This rule applies to everyone including the likes of Bill Gates and Robert Oppenheimer. That's it. That's what the whole book is about. Gladwell looks at case after case of this: Canadian hockey players, Korean airline pilots, poor kids in the Bronx, Jewish lawyers, etc... Even with all this evidence it feels like he's pulling in examples that fit his theory and","Dec 19, 2008"
Tharindu Dissanayake,3,,"""This is not a book about tall trees. It's a book about forests.""","Nov 27, 2020"
David,1,,"Malcolm Gladwell writes very interesting and entertaining books. J.R.R. Tolkein writes very interesting and entertaining books as well. However, after reading Tolkein, I did not venture out into the world in search of hobbits, dwarves and elves to be my new friends, or worry about being attacked by trolls. Tolkein's books, while entertaining, have little connection to reality. Unfortunately, the same can be said about Gladwell. ""Outliers"" is a series of well-written and interesting essays along","Sep 10, 2011"
Adam,5,,People are criticizing this book because it is not a journal article. Well guess what: we're not all sociologists. I have read plenty of journal articles in my own field (law). I'm in no position to read journal articles in fields outside my own. Having a well-written piece of mass-market writing is just the thing I need to access this information.,"Dec 30, 2008"
Michael Perkins,2,,"The term I've coined for books such as these is ""the illusion of erudition.""","Oct 01, 2012"
Henry Mishkoff,2,,"Well, it's official: Malcolm Gladwell has run out of things to say.","Dec 26, 2008"
Jonathan,3,,Here's what I,"Dec 05, 2008"
Kevin,1,,1) Sloppy methodology:,"Sep 28, 2014"
Amir Tesla,3,,"If you like exploring phenomenon beyond their appearance and if you enjoy story-telling writings about factual subjects, here: success","Oct 07, 2016"
Anirudh,4,,"Ever wondered why Bill Gates is so rich? Or why the Beatles is considered to be a ""once in a millennium"" band? (or why people find ""Lucy in the Sky with Diamonds"" to be so trippy, lol) Or simply, why some people are so outrageously successful while others wallow in mediocrity?","Jun 02, 2021"
Jason,3,,I skimmed this book instead of reading it. I didn’t entirely love it.,"May 11, 2011"
seak,4,,"Outliers. Or as it should be called, ""Outliers don't exist."" I not only couldn't put it down, but my wife feels like she's read it now too.","Apr 09, 2013"
Julie,5,,"In just one week, this book transformed a relatively normal woman into someone who's been saying, ""Well, in this book I'm reading. . . you know, Outliers? Yeah, there's this section on. . . there's this part about. . . You should read this chapter. . . No, no, just wait here and let me read these 3 pages out loud for you. . . Have you read it? Oh, you haven't? Let me just show you this one page, it'll just take a minute!""","Jan 09, 2014"
Siddharth,4,,"""If only I'd read this book earlier,"" the old man sighed. He shook his head sadly. ""I was at the wrong end of the cut-off age. I'd have made a champion swimmer..."". His voice trailed off.","Jan 12, 2013"
