,x,y
0,Four Stars. thought provoking,1
1,"Not What I Expected. Although a few of the stories were interesting, I was lead to believe there were more interesting life stories told.",0
2,"Outliers - Gladwell - A Good Tour of the Outer End of Normality. I read the book as it is on a reading list for my job. It is an easy read and I caution you about the actual science behind it; we readers just swallow some things without checking. However, it is, like many of his books, a good tour of the subject and worthy of our time.",1
3,Surprisingly good..... .. Interesting connections one wouldn't imagine are explained.,1
4,Success. Good book to read for success,2
5,"Interesting but I disagree.. The books provides a lot Marco and Micro examples of how circumstances produce “outliers” (great ppl). I agree whole heartily that is part of what makes anyone great is the family, opportunities, culture, community they grew up in. We all stand the shoulders of giants. But we also choose to work har and take risks where many could have but chose not to. I believe being self made is a choice someone makes, but their is a lot luck with no fault of your which allows you to choose to be self made. For example have a stable home, going to a good school, having a good mentor etc.",0
6,"I HAVE PROBLEMS NOT FULLY ANSWERED. The description, one chapter after the other, to describe an Outlier as one beyond the ordinary. In fact the stories are about ordinary people who took advantage of circumstances beyond their control. This is something ANYONE can do BY using whatever talents given to us. The point is learn your role and play it to the fullest. Each of us does not need to be an Einstein or a Beethoven 4 stars .",1
7,food for thought. Great read! Thought provoking.,2
8,"EYE OPENER. An amazing theory, well presented, that there are more factors involved in individual success than are usually thought. When, where, how we came to Earth gives some people advantages without the obvious reasons of being born into wealth, being a genius, or gifted athletically. Backed up with research and statistics, it's a new window into why some people are more successful than most.",2
9,"Definitely worth buying. This was the first book I bought for my Kindle. Reading the reviews, I was skeptical of the book initially - as I don't buy into the concept of ""secret to success"" as one fitting formula for the general masses. But this book was different. Malcolm Gladwell took his well-researched case studies and dissected the results and the processes to present a balanced look at some of the best known successful people of our times. It was comforting to have his research confirm that success goes to people who really do work at it - although being at the right place, at the right time, and born to the right environment all help. Just as I finished the book, I was speaking to one of my colleagues, as he described the trials and tribulations of raising a star hockey player in his family. I asked him about his son's birthdate (March), and the practice times and opportunities that his son has had. It was all there. The making of a successful hockey player in Canada following the path that many NHL players before him. I recommended the book to my friend, and he was immediately fascinated. This is one book that I want in my library, as a keeper - as opposed to ones that I wish I could give back.",1
10,"All I hear is someone complaining. One of the worst books I’ve read. Instead of looking into why people are outliers, the author complains the entire book.",0
11,"Makes a person think. Great book. Not your typical book about success, but it does make a person question a lot about our society.",2
12,"Outstanding people work very hard to achieve excellence and there are other factors necessary for success.. This is one of my favorite books. He researched qualities of outstanding individuals in different fields and tells what led to their success. Interesting examples, well-written book.",2
