,stars,review,date,country
0,0,"Journalism and pseudoscience. Having read lots of favourable reviews, I was extremely disappointed. The book essentially argues against the notion that people are born to succeed. If you believe that success is a bit more complicated than that, you may be in for a tedious time ahead as it laboriously tries to convince you against something you never thought in the first place. There is simply not enough here for a book and so the material is stretched out, presenting points that would be common sense to most people seemly expecting the result to be paradigm shifting revelations to the reader. It circles around the same points approaching from a variety of angles, while ignoring any counter arguments you feel should be addressed.",2017-11-12,Reino Unido
1,1,"Salient and grounded. ​Gladwell argues that success is tightly married to opportunity and time on task. He states that it takes approximately 10,000 hours to master something and that gives me comfort. It helps me feel better about my many failures at initial attempts to master things (like glazing pottery, algebra, Salsa dancing, skiing and sewing... to name a few). I kept thinking, ""I've just got to put in more hours if I want to do better.""",2018-03-03,Reino Unido
2,1,"Interesting enough but certainly no revelation. Basically, this book *reveals* that people don't gain success through talent and hard work alone; rather they have other, often hidden, advantages. These can be cultural, social, financial, and circumstantial. It also suggests that talent + advantages+ 10000 hours of practice = unusual success. This is demonstrated by a set of examples (The Beatles, Bill Gates etc).",2014-06-23,Reino Unido
3,1,"Fascinating and thought-provoking. It takes a special insight to uncover truths that have always been there, but never been identified. Gladwell brings together evidence - and hindsight - to show how the most special of humans have been the product of their circumstances, opportunities and timing, which allied to hard work and talent makes people outliers. The lesson is that people can thrive only if given the opportunity and resources to do so, and in an oblique way is a damning critique of the winner-takes-all culture in Western societies, and the enormous inequities of inherited wealth and privilege.",2019-01-17,Reino Unido
4,1,"Enjoyable read but scientifically it makes me feel uneasy. I would like to put Gladwell in the same category as Jared Diamond - he writes books that take you on an enjoyable sweep through different places and eras and whole swathes of pop-anthropology but, deep down, I have to wonder *why* he picked a story about dental statistics in 1930s Luxembourg, or the rate of unexplained bus crashes in Peru versus Chile. I can never quite rule out a suspicion of cherry-picking. Which is uncomfortable, because I really *want* to believe these neat stories that let you in on a little secret that underpins whole swathes of the modern world.",2020-02-18,Reino Unido
5,1,"Wonderfully interesting, easy to read, amazing findings. Brilliant book for exemplifying patterns in human behaviour. I am not reading it in order to look at improving the odds of success in life - not as a sociologist or psychologist.....and I find it very gripping and the evidence against the examples is brilliant. I take each chapter as a chapter of learning but the sort of learning which implants itself in your mind instead of needing to try and take it all in. It is written in a way that the knowledge provided naturally settles in your mind. Would highly recommend to anyone who is looking at success, improving odds, running a business, psychology, sociology",2018-09-01,Reino Unido
6,0,"Over-hyped Book with a Lack of Convincing Conclusions. To be honest, I still don't get the point of this book. Chapter after chapter, the same statement is made, that success in life is more to do with where you come from than with anything else. So what? Are we supposed to become all defaitist about this now, as we cannot really influence our fate in life? As so often in american books of this type, it is dense in quoting from all sorts of random research, which makes it at times tiring to read. Anecdotes that may or may not be convincing provide for some more relaxed reading, but the author's conclusions (if any) are often not convincing. So the Chinese are better at maths because they have an easier system of naming their numbers? And why does that then all of a sudden apply to all Asians, even though not all Asian languages share the same feature?",2014-08-17,Reino Unido
7,1,"one great read. At heart this is a cracking set of essays around the theme of achieving excellence, and despite the technical basis and dry subject it manages to read like a thriller. The author also flatters and draws in the reader with well chosen examples.",2017-09-10,Reino Unido
8,1,"Worth a read. Malcolm Gladwell has a storytelling style that makes for compelling reading, albeit based around 'one big idea', in this instance 'grit'.",2022-03-05,Reino Unido
9,1,Wouldn’t it all boils down to one philosophy?. It’s a 5-star research work. That’s all.,2020-07-17,Reino Unido
